goal_diff,win_diff,won_series
1,0.14285714285714285,True
2,0.2857142857142857,True
1,0.14285714285714285,True
2,0.2857142857142857,True
1,0.14285714285714285,True
2,0.2857142857142857,True
-1,-0.14285714285714285,True
2,0.0,True
3,0.14285714285714285,True
4,0.2857142857142857,True
-1,-0.14285714285714285,True
0,0.0,True
-4,-0.14285714285714285,True
-3,0.0,True
-5,-0.14285714285714285,True
-4,0.0,True
-1,-0.14285714285714285,False
-5,-0.2857142857142857,False
-6,-0.42857142857142855,False
-3,-0.2857142857142857,False
-1,-0.14285714285714285,False
-3,-0.2857142857142857,False
-2,-0.14285714285714285,False
-5,-0.2857142857142857,False
-4,-0.14285714285714285,False
-5,-0.2857142857142857,False
-3,-0.14285714285714285,False
-4,-0.2857142857142857,False
-6,-0.42857142857142855,False
-2,-0.2,False
-3,-0.4,False
-1,-0.2,False
-3,-0.4,False
3,0.2,True
6,0.4,True
1,0.14285714285714285,True
2,0.2857142857142857,True
4,0.42857142857142855,True
-1,-0.2,True
-2,-0.4,True
-1,-0.2,True
0,0.0,True
1,0.14285714285714285,True
2,0.2857142857142857,True
3,0.42857142857142855,True
2,0.2857142857142857,True
1,0.2,False
0,0.0,False
-3,-0.2,False
-6,-0.4,False
-4,-0.14285714285714285,True
-7,-0.2857142857142857,True
-3,-0.14285714285714285,True
-2,0.0,True
-1,0.14285714285714285,True
-3,0.0,True
-4,-0.14285714285714285,False
-5,-0.2857142857142857,False
-6,-0.42857142857142855,False
-1,-0.14285714285714285,False
-4,-0.2857142857142857,False
-2,-0.14285714285714285,False
-3,-0.2857142857142857,False
-3,-0.14285714285714285,False
-7,-0.2857142857142857,False
-10,-0.42857142857142855,False
1,0.2,False
0,0.0,False
1,0.2,False
-3,0.0,False
-1,-0.2,False
-2,-0.4,False
-1,-0.2,True
2,0.0,True
4,0.2,True
5,0.4,True
3,0.2,False
2,0.0,False
-2,-0.2,False
-1,0.0,False
1,0.2,True
2,0.4,True
-1,-0.2,False
-3,-0.4,False
1,0.2,False
2,0.4,False
1,0.2,False
-4,0.0,False
-1,-0.2,False
-3,-0.4,False
-2,-0.1111111111111111,False
-3,-0.2222222222222222,False
-4,-0.3333333333333333,False
-5,-0.4444444444444444,False
1,0.14285714285714285,True
2,0.2857142857142857,True
-1,0.14285714285714285,True
0,0.2857142857142857,True
-1,0.14285714285714285,True
0,0.2857142857142857,True
-4,-0.14285714285714285,True
-3,0.0,True
-6,-0.14285714285714285,True
-7,-0.2857142857142857,True
-6,-0.14285714285714285,True
-4,0.0,True
-5,-0.14285714285714285,False
-6,-0.2857142857142857,False
-4,-0.14285714285714285,False
-5,-0.2857142857142857,False
-4,-0.14285714285714285,False
-5,-0.2857142857142857,False
2,0.14285714285714285,True
1,0.0,True
-1,-0.14285714285714285,True
-5,-0.2857142857142857,True
-4,-0.14285714285714285,True
-3,0.0,True
2,0.14285714285714285,True
4,0.2857142857142857,True
-1,-0.2,False
-2,-0.4,False
-4,-0.14285714285714285,True
-5,-0.2857142857142857,True
-1,-0.14285714285714285,True
2,0.0,True
3,0.14285714285714285,True
2,0.0,True
3,0.2,False
6,0.4,False
5,0.2,False
4,0.0,False
1,0.14285714285714285,True
2,0.2857142857142857,True
3,0.42857142857142855,True
3,0.2,True
4,0.4,True
1,0.14285714285714285,True
2,0.2857142857142857,True
1,0.14285714285714285,True
2,0.2857142857142857,True
1,0.14285714285714285,True
4,0.2857142857142857,True
6,0.2,True
0,0.0,True
1,0.2,True
0,0.0,True
3,0.2,False
2,0.0,False
1,-0.2,False
0,-0.4,False
-1,-0.14285714285714285,False
-3,-0.2857142857142857,False
-1,-0.14285714285714285,False
-2,-0.2857142857142857,False
-1,-0.14285714285714285,False
-2,-0.2857142857142857,False
-1,-0.2,False
5,0.0,False
4,-0.2,False
5,0.0,False
-1,-0.14285714285714285,True
1,0.0,True
2,0.14285714285714285,True
1,0.0,True
2,0.14285714285714285,True
1,0.0,True
1,0.2,True
-2,0.0,True
-1,0.2,True
-5,0.0,True
-1,-0.14285714285714285,True
-2,-0.2857142857142857,True
-1,-0.14285714285714285,True
1,0.0,True
4,0.14285714285714285,True
3,0.0,True
1,0.2,False
0,0.0,False
-1,-0.2,False
0,0.0,False
1,0.14285714285714285,True
2,0.2857142857142857,True
-1,0.14285714285714285,True
-2,0.0,True
1,0.14285714285714285,True
-1,0.0,True
-1,-0.2,True
5,0.0,True
6,0.2,True
5,0.0,True
-3,-0.2,False
-4,-0.4,False
-5,-0.2,False
-10,-0.4,False
2,0.2,True
4,0.4,True
-2,-0.2,False
-3,-0.4,False
1,0.2,True
4,0.4,True
-1,-0.2,False
-2,-0.4,False
-2,-0.2,True
1,0.0,True
2,0.2,True
3,0.4,True
-2,-0.2,False
-3,-0.4,False
-1,-0.2,False
-2,-0.4,False
5,0.2,True
