match_url,blue_goals,orange_goals,blue_wins,orange_wins,best_of,did_blue_win,head2head
2040105,0,1,0,1,7,False,0.0
2040105,3,5,0,2,7,False,0.0
2040105,4,7,0,3,7,False,0.0
2040105,7,9,1,3,7,False,0.0
2040105,12,9,2,3,7,False,0.0
2040105,13,12,2,4,7,False,0.0
2040103,1,2,0,1,7,True,0.0
2040103,6,4,1,1,7,True,0.0
2040103,10,6,2,1,7,True,0.0
2040103,11,9,2,2,7,True,0.0
2040103,13,12,2,3,7,True,0.0
2040103,15,13,3,3,7,True,0.0
2040104,3,2,1,0,7,True,0.0
2040104,4,2,2,0,7,True,0.0
2040104,5,4,2,1,7,True,0.0
2040104,7,5,3,1,7,True,0.0
2040104,8,7,3,2,7,True,0.0
2040104,10,7,4,2,7,True,0.0
2040102,2,3,0,1,7,False,0.0
2040102,2,5,0,2,7,False,0.0
2040102,2,6,0,3,7,False,0.0
2040101,2,3,0,1,7,False,0.0
2040101,2,5,0,2,7,False,0.0
2040101,3,7,0,3,7,False,0.0
2030105,2,1,1,0,7,True,0.0
2030105,5,2,2,0,7,True,0.0
2030105,7,5,2,1,7,True,0.0
2030105,7,7,2,2,7,True,0.0
2030105,7,8,2,3,7,True,0.0
2030105,8,8,3,3,7,True,0.0
2030103,0,2,0,1,7,True,-0.23076923076923078
2030103,2,3,1,1,7,True,-0.23076923076923078
2030103,3,3,2,1,7,True,-0.23076923076923078
2030103,3,5,2,2,7,True,-0.23076923076923078
2030103,9,5,3,2,7,True,-0.23076923076923078
2030103,10,5,4,2,7,True,-0.23076923076923078
2030104,2,3,0,1,7,False,0.0
2030104,2,5,0,2,7,False,0.0
2030104,4,8,0,3,7,False,0.0
2030102,2,1,1,0,7,True,0.0
2030102,3,1,2,0,7,True,0.0
2030102,3,3,2,1,7,True,0.0
2030102,3,4,2,2,7,True,0.0
2030102,4,4,3,2,7,True,0.0
2030102,9,6,4,2,7,True,0.0
2030101,0,1,0,1,7,True,0.0
2030101,3,3,1,1,7,True,0.0
2030101,5,6,1,2,7,True,0.0
2030101,6,8,1,3,7,True,0.0
2030101,8,9,2,3,7,True,0.0
2030101,12,10,3,3,7,True,0.0
2620125,1,3,0,1,5,False,0.0
2620125,2,7,0,2,5,False,0.0
2970133,2,1,1,0,5,True,0.0
2970133,4,1,2,0,5,True,0.0
2970133,5,6,2,1,5,True,0.0
2970133,7,7,3,1,5,True,0.0
2970131,0,1,0,1,5,False,0.0
2970131,0,2,0,2,5,False,0.0
2970113,4,0,1,0,5,False,0.0
2970113,5,4,1,1,5,False,0.0
2970113,7,7,1,2,5,False,0.0
2970113,11,9,2,2,5,False,0.0
2970109,2,3,0,1,5,False,0.0
2970109,3,7,0,2,5,False,0.0
2970103,1,2,0,1,5,False,0.0
2970103,2,6,0,2,5,False,0.0
2970103,3,6,1,2,5,False,0.0
2970103,8,7,2,2,5,False,0.0
2970101,4,3,1,0,5,True,0.0
2970101,10,3,2,0,5,True,0.0
2970101,10,7,2,1,5,True,0.0
2970101,13,8,3,1,5,True,0.0
2280115,0,4,0,1,5,True,0.7142857142857143
2280115,1,4,1,1,5,True,0.7142857142857143
2280115,4,6,2,1,5,True,0.7142857142857143
2280115,6,7,3,1,5,True,0.7142857142857143
2280114,1,4,0,1,5,False,-0.7142857142857143
2280114,2,7,0,2,5,False,-0.7142857142857143
2280114,5,12,0,3,5,False,-0.7142857142857143
2280114,8,14,1,3,5,False,-0.7142857142857143
2280113,1,3,0,1,5,False,0.0
2280113,2,5,0,2,5,False,0.0
2280113,5,6,1,2,5,False,0.0
2280113,6,12,1,3,5,False,0.0
2280110,1,5,0,1,5,False,0.0
2280110,1,10,0,2,5,False,0.0
2610228,3,4,0,1,5,True,0.0
2610228,7,9,0,2,5,True,0.0
2610228,9,10,1,2,5,True,0.0
2610228,13,13,2,2,5,True,0.0
2610125,2,1,1,0,5,True,0.0
2610125,3,4,1,1,5,True,0.0
2610125,7,4,2,1,5,True,0.0
2610125,9,7,2,2,5,True,0.0
1980128,3,2,1,0,5,False,0.0
1980128,9,7,2,0,5,False,0.0
1980128,9,11,2,1,5,False,0.0
1980128,11,16,2,2,5,False,0.0
1980127,2,3,0,1,5,False,0.0
1980127,7,7,1,1,5,False,0.0
1980127,8,9,1,2,5,False,0.0
1980127,9,11,1,3,5,False,0.0
1980126,2,3,0,1,5,False,-1.0
1980126,2,8,0,2,5,False,-1.0
1980125,2,3,0,1,5,False,-0.5
1980125,5,5,1,1,5,False,-0.5
1980125,6,7,1,2,5,False,-0.5
1980125,7,9,1,3,5,False,-0.5
2610128,1,6,0,1,5,False,0.0
2610128,3,9,0,2,5,False,0.0
2620128,1,2,0,1,5,False,0.0
2620128,2,7,0,2,5,False,0.0
2620227,4,0,1,0,5,True,0.0
2620227,8,1,2,0,5,True,0.0
2610126,5,3,1,0,5,True,0.0
2610126,9,6,2,0,5,True,0.0
2620226,1,2,0,1,5,False,0.0
2620226,6,4,1,1,5,False,0.0
2620226,9,6,2,1,5,False,0.0
2620226,11,9,2,2,5,False,0.0
2610225,1,2,0,1,5,False,0.0
2610225,3,5,0,2,5,False,0.0
2610124,2,1,1,0,5,False,0.0
2610124,6,6,1,1,5,False,0.0
2610124,7,8,1,2,5,False,0.0
2610124,10,10,2,2,5,False,0.0
2630121,2,0,1,0,5,True,0.0
2630121,4,3,1,1,5,True,0.0
2630121,6,4,2,1,5,True,0.0
2630121,10,7,3,1,5,True,0.0
2620228,2,1,1,0,5,False,0.0
2620228,5,5,1,1,5,False,0.0
2620228,7,8,1,2,5,False,0.0
2620228,11,10,2,2,5,False,0.0
2620127,2,3,0,1,5,False,0.0
2620127,5,5,1,1,5,False,0.0
2620127,6,7,1,2,5,False,0.0
2620127,8,8,2,2,5,False,0.0
2610226,2,3,0,1,5,False,0.0
2610226,5,5,1,1,5,False,0.0
2620225,2,1,1,0,5,True,0.0
2620225,5,3,2,0,5,True,0.0
2620225,6,6,2,1,5,True,0.0
2620225,9,6,3,1,5,True,0.0
2640225,4,2,1,0,5,True,0.0
2640225,8,5,2,0,5,True,0.0
2640226,2,3,0,1,5,True,-0.5
2640226,5,4,1,1,5,True,-0.5
2640226,9,5,2,1,5,True,-0.5
2640226,11,8,2,2,5,True,-0.5
2630120,1,0,1,0,5,True,0.0
2630228,6,2,1,0,5,True,0.0
2630228,9,4,2,0,5,True,0.0
2630228,11,7,2,1,5,True,0.0
2630228,13,10,2,2,5,True,0.0
2640128,2,4,0,1,5,False,0.0
2640128,5,6,1,1,5,False,0.0
2640128,7,10,1,2,5,False,0.0
2640128,9,11,2,2,5,False,0.0
2630226,4,0,1,0,5,True,0.0
2630225,3,2,1,0,5,True,0.0
2630225,9,2,2,0,5,True,0.0
2610123,3,2,1,0,5,True,0.0
2610123,7,2,2,0,5,True,0.0
2610123,8,6,2,1,5,True,0.0
2610123,11,8,3,1,5,True,0.0
2620121,5,0,1,0,5,True,0.0
2620121,12,1,2,0,5,True,0.0
2630119,0,1,0,1,5,True,0.0
2630119,5,4,1,1,5,True,0.0
2630119,7,5,2,1,5,True,0.0
2630119,9,6,3,1,5,True,0.0
1970206,3,2,1,0,7,True,0.14285714285714285
1970206,4,2,2,0,7,True,0.14285714285714285
1970206,7,6,2,1,7,True,0.14285714285714285
1970206,9,7,3,1,7,True,0.14285714285714285
1970206,11,10,3,2,7,True,0.14285714285714285
1970206,14,12,4,2,7,True,0.14285714285714285
1970205,2,3,0,1,7,True,0.09090909090909091
1970205,7,5,1,1,7,True,0.09090909090909091
1970205,9,6,2,1,7,True,0.09090909090909091
1970205,12,8,3,1,7,True,0.09090909090909091
